Name,Patners 1,Skills ,Skills 2,Skills 3,Skills 4,Skills 5,Skills 6,Skills 7,Skills 8,Skills 9,Skills 10,Skills 11,Skills 12,Skills 13,Skills 14,Skills 15,Skills 16,Skills 17,Skills 18,Skills 19,Url,Job category,Difficulty,Duration,skill_list,skill_list_clean
Backend Engineering with Node.js,LearnKartS,Node.JS,Authentications,Cloud Deployment,Middleware,MongoDB,Server Side,Back-End Web Development,Role-Based Access Control (RBAC),Application Deployment,Full-Stack Web Development,API Testing,Authorization (Computing),Redis,JavaScript Frameworks,JSON,Database Management,TypeScript,Javascript,Database Design,https://www.coursera.org/specializations/backend-engineering-nodejs,Backend Developer,BEGINNER,THREE_TO_SIX_MONTHS,"['node.js', 'authentications', 'cloud deployment', 'middleware', 'mongodb', 'server side', 'back-end web development', 'role-based access control (rbac)', 'application deployment', 'full-stack web development', 'api testing', 'authorization (computing)', 'redis', 'javascript frameworks', 'json', 'database management', 'typescript', 'javascript', 'database design']","['nodejs', 'authentications', 'cloud deployment', 'middleware', 'mongodb', 'server side', 'back-end web development', 'role-based access control (rbac)', 'application deployment', 'full-stack web development', 'api testing', 'authorization (computing)', 'redis', 'javascript frameworks', 'json', 'database management', 'typescript', 'javascript', 'database design']"
Backend Development using ASP.Net,Board Infinity,Restful API,ASP.NET,Model View Controller,.NET Framework,JSON,Application Programming Interface (API),API Design,Application Frameworks,Web Services,Middleware,Back-End Web Development,Extensible Markup Language (XML),,,,,,,,https://www.coursera.org/learn/backend-development-with-asp-dot-net,Backend Developer,INTERMEDIATE,ONE_TO_FOUR_WEEKS,"['restful api', 'asp.net', 'model view controller', '.net framework', 'json', 'application programming interface (api)', 'api design', 'application frameworks', 'web services', 'middleware', 'back-end web development', 'extensible markup language (xml)']","['restful api', 'asp.net', 'model view controller', '.net framework', 'json', 'application programming interface (api)', 'api design', 'application frameworks', 'web services', 'middleware', 'back-end web development', 'extensible markup language (xml)']"
IBM AI Developer,IBM,Prompt Engineering,Systems Development Life Cycle,Prompt Patterns,Software Development Life Cycle,Retrieval-Augmented Generation,Large Language Modeling,Software Architecture,Computer Vision,LangChain,Restful API,Responsive Web Design,Generative AI,Responsible AI,IBM Cloud,Data Ethics,AI Workflows,Python Programming,Software Development,Machine Learning,https://www.coursera.org/professional-certificates/applied-artifical-intelligence-ibm-watson-ai,AI Engineer,BEGINNER,THREE_TO_SIX_MONTHS,"['prompt engineering', 'systems development life cycle', 'prompt patterns', 'software development life cycle', 'retrieval-augmented generation', 'large language modeling', 'software architecture', 'computer vision', 'langchain', 'restful api', 'responsive web design', 'generative ai', 'responsible ai', 'ibm cloud', 'data ethics', 'ai workflows', 'python programming', 'software development', 'machine learning']","['prompt engineering', 'systems development life cycle', 'prompt patterns', 'software development life cycle', 'retrieval-augmented generation', 'large language modeling', 'software architecture', 'computer vision', 'langchain', 'restful api', 'responsive web design', 'generative ai', 'responsible ai', 'ibm cloud', 'data ethics', 'ai workflows', 'python programming', 'software development', 'machine learning']"
Full Stack Web Development,Amazon,Full-Stack Web Development,Restful API,Cloud Deployment,Frontend Integration,Front-End Web Development,Web Design and Development,Web Services,Cloud Development,Application Deployment,Cloud Applications,Web Development,Spring Framework,Amazon Web Services,HTML and CSS,Data Persistence,Application Programming Interface (API),Server Side,Web Applications,Back-End Web Development,https://www.coursera.org/learn/fullstack-web-development,Full Stack Developer,BEGINNER,ONE_TO_FOUR_WEEKS,"['full-stack web development', 'restful api', 'cloud deployment', 'frontend integration', 'front-end web development', 'web design and development', 'web services', 'cloud development', 'application deployment', 'cloud applications', 'web development', 'spring framework', 'amazon web services', 'html and css', 'data persistence', 'application programming interface (api)', 'server side', 'web applications', 'back-end web development']","['full-stack web development', 'restful api', 'cloud deployment', 'frontend integration', 'front-end web development', 'web design and development', 'web services', 'cloud development', 'application deployment', 'cloud applications', 'web development', 'spring framework', 'amazon web services', 'html and css', 'data persistence', 'application programming interface (api)', 'server side', 'web applications', 'back-end web development']"
JavaScript Back-end Capstone Project,IBM,Containerization,Node.JS,CI/CD,Kubernetes,MongoDB,Full-Stack Web Development,Back-End Web Development,Restful API,JavaScript Frameworks,Application Deployment,Continuous Integration,Server Side,Microservices,Frontend Integration,NoSQL,API Design,Software Technical Review,Continuous Deployment,Web Development,https://www.coursera.org/learn/javascript-backend-capstone-project,Frontend Developer,ADVANCED,ONE_TO_THREE_MONTHS,"['containerization', 'node.js', 'ci/cd', 'kubernetes', 'mongodb', 'full-stack web development', 'back-end web development', 'restful api', 'javascript frameworks', 'application deployment', 'continuous integration', 'server side', 'microservices', 'frontend integration', 'nosql', 'api design', 'software technical review', 'continuous deployment', 'web development']","['containerization', 'nodejs', 'ci/cd', 'kubernetes', 'mongodb', 'full-stack web development', 'back-end web development', 'restful api', 'javascript frameworks', 'application deployment', 'continuous integration', 'server side', 'microservices', 'frontend integration', 'nosql', 'api design', 'software technical review', 'continuous deployment', 'web development']"
Java FullStack Developer,Board Infinity,Angular,HTML and CSS,Data Structures,Spring Boot,Eclipse (Software),Restful API,Java Programming,JavaScript Frameworks,Object Oriented Programming (OOP),Model View Controller,Software Development Tools,Hypertext Markup Language (HTML),Java,Computer Programming Tools,Application Frameworks,Front-End Web Development,Spring Framework,Object Oriented Design,Cascading Style Sheets (CSS),https://www.coursera.org/specializations/java-fullstack,General IT Specialist,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['angular', 'html and css', 'data structures', 'spring boot', 'eclipse (software)', 'restful api', 'java programming', 'javascript frameworks', 'object oriented programming (oop)', 'model view controller', 'software development tools', 'hypertext markup language (html)', 'java', 'computer programming tools', 'application frameworks', 'front-end web development', 'spring framework', 'object oriented design', 'cascading style sheets (css)']","['angular', 'html and css', 'data structures', 'spring boot', 'eclipse (software)', 'restful api', 'java programming', 'javascript frameworks', 'object oriented programming (oop)', 'model view controller', 'software development tools', 'hypertext markup language (html)', 'java', 'computer programming tools', 'application frameworks', 'front-end web development', 'spring framework', 'object oriented design', 'cascading style sheets (css)']"
.NET FullStack Developer,Board Infinity,HTML and CSS,React.js,ASP.NET,Restful API,.NET Framework,Web Applications,Web Services,Hypertext Markup Language (HTML),Front-End Web Development,JSON,Application Development,JavaScript Frameworks,Model View Controller,Web Design and Development,Application Frameworks,UI Components,Development Environment,Web Development,Microsoft Visual Studio,https://www.coursera.org/specializations/dot-net-fullstack,General IT Specialist,INTERMEDIATE,ONE_TO_THREE_MONTHS,"['html and css', 'react.js', 'asp.net', 'restful api', '.net framework', 'web applications', 'web services', 'hypertext markup language (html)', 'front-end web development', 'json', 'application development', 'javascript frameworks', 'model view controller', 'web design and development', 'application frameworks', 'ui components', 'development environment', 'web development', 'microsoft visual studio']","['html and css', 'react.js', 'asp.net', 'restful api', '.net framework', 'web applications', 'web services', 'hypertext markup language (html)', 'front-end web development', 'json', 'application development', 'javascript frameworks', 'model view controller', 'web design and development', 'application frameworks', 'ui components', 'development environment', 'web development', 'microsoft visual studio']"
"Full-Stack Web Development: PHP, HTML, CSS & JavaScript",Board Infinity,User Interface (UI),User Interface and User Experience (UI/UX) Design,Bootstrap (Front-End Framework),Web Design,Cascading Style Sheets (CSS),UI Components,Secure Coding,Full-Stack Web Development,Web Applications,Database Development,Frontend Integration,JavaScript Frameworks,Database Management,Hypertext Markup Language (HTML),Software Architecture,Development Environment,Development Testing,Software Testing,NoSQL,https://www.coursera.org/specializations/full-stack-web-development-php-html-css-and-js,Frontend Developer,BEGINNER,ONE_TO_THREE_MONTHS,"['user interface (ui)', 'user interface and user experience (ui/ux) design', 'bootstrap (front-end framework)', 'web design', 'cascading style sheets (css)', 'ui components', 'secure coding', 'full-stack web development', 'web applications', 'database development', 'frontend integration', 'javascript frameworks', 'database management', 'hypertext markup language (html)', 'software architecture', 'development environment', 'development testing', 'software testing', 'nosql']","['user interface (ui)', 'user interface and user experience (ui/ux) design', 'bootstrap (front-end framework)', 'web design', 'cascading style sheets (css)', 'ui components', 'secure coding', 'full-stack web development', 'web applications', 'database development', 'frontend integration', 'javascript frameworks', 'database management', 'hypertext markup language (html)', 'software architecture', 'development environment', 'development testing', 'software testing', 'nosql']"
Master Full-Stack Web Development with Laravel & PHP,Board Infinity,Restful API,Secure Coding,Application Deployment,Web Development,API Design,Full-Stack Web Development,Security Controls,Scripting Languages,Cloud API,Software Documentation,Software Installation,Data Validation,,,,,,,,https://www.coursera.org/learn/laravel-framework-and-php,Full Stack Developer,INTERMEDIATE,ONE_TO_FOUR_WEEKS,"['restful api', 'secure coding', 'application deployment', 'web development', 'api design', 'full-stack web development', 'security controls', 'scripting languages', 'cloud api', 'software documentation', 'software installation', 'data validation']","['restful api', 'secure coding', 'application deployment', 'web development', 'api design', 'full-stack web development', 'security controls', 'scripting languages', 'cloud api', 'software documentation', 'software installation', 'data validation']"
Full Stack Application Development Capstone Project,IBM,CI/CD,Continuous Integration,Continuous Deployment,Full-Stack Web Development,Application Design,Node.JS,Django (Web Framework),Back-End Web Development,Web Applications,Web Design and Development,Front-End Web Development,Restful API,Application Development,GitHub,Microservices,Web Development,User Accounts,Kubernetes,Frontend Integration,https://www.coursera.org/learn/ibm-cloud-native-full-stack-development-capstone,Full Stack Developer,ADVANCED,ONE_TO_THREE_MONTHS,"['ci/cd', 'continuous integration', 'continuous deployment', 'full-stack web development', 'application design', 'node.js', 'django (web framework)', 'back-end web development', 'web applications', 'web design and development', 'front-end web development', 'restful api', 'application development', 'github', 'microservices', 'web development', 'user accounts', 'kubernetes', 'frontend integration']","['ci/cd', 'continuous integration', 'continuous deployment', 'full-stack web development', 'application design', 'nodejs', 'django (web framework)', 'back-end web development', 'web applications', 'web design and development', 'front-end web development', 'restful api', 'application development', 'github', 'microservices', 'web development', 'user accounts', 'kubernetes', 'frontend integration']"
